lat,long,Address,Country,State,totalCount
38.9917426,-76.8632938,"Greenbelt, MD 20771, USA",United States,Maryland,3
34.1986494,-118.174585,"California Institute of Technology: Jet Propulsion Laboratory, 4800 Oak Grove Drive, Pasadena, CA 91109, USA",United States,California,3
45.50232,-73.5436479,"Montreal, QC H3C 3J7, Canada",Canada,Quebec,3
37.5267674,15.0586639,"95123 Catania, Italy",Italy,Sicilia,3
51.498766,-0.174522,"Imperial College London, South Kensington Campus, Exhibition Road, City of Westminster, London SW7 2AZ, UK",United Kingdom,NULL,3
38.990641,-76.9419614,"Astronomy Department, University of Maryland College Park, College Park, MD 20740, USA",United States,Maryland,3
32.2330662,-110.9484722,"Steward Observatory, The University of Arizona, Tucson, AZ 85721, USA",United States,Arizona,3
43.0090217,-81.2615605,"University Of Western Ontario, 1151 Richmond Street, London, ON N6A 3K7, Canada",Canada,Ontario,3
51.5239915,-0.0379801,"Queen Mary University of London, Mile End Road, London, Greater London E1 4NS, UK",United Kingdom,NULL,3
36.0680669,-94.1756223,"University of Arkansas, 345 Garland Avenue, Fayetteville, AR 72701, USA",United States,Arkansas,3
43.7728137,11.1964631,"Il Giardino Di Archimede - Un Museo Per La Matematica, Via di San Bartolo a Cintoia, 19a, 50142 Florence, Italy",Italy,Tuscany,3
51.487275,-3.175241,"Cardiff University, Park Place, Cardiff CF10 3AT, UK",United Kingdom,Wales,3
40.7455378,-74.0077963,"IAC, 555 West 18th Street, New York, NY 10011, USA",United States,New York,3
40.3469003,-74.6511701,"Ivy Lane, Princeton University, Princeton, NJ 08544, USA",United States,New Jersey,3
47.497912,19.040235,"Budapest, Hungary",Hungary,Budapest,3
55.7001632,12.5615502,"Niels Bohr Institutet, University of Copenhagen, 2100 Copenhagen, Denmark",Denmark,Capital Region of Denmark,3
55.6871876,12.5771077,"Øster Voldgade 5, 1350 Copenhagen, Denmark",Denmark,Capital Region of Denmark,3
42.3597807,-71.0936091,"77 Massachusetts Avenue, Massachusetts Institute of Technology, Cambridge, MA 02139, USA",United States,Massachusetts,3
42.0293102,-93.6473994,"Department of Physics and Astronomy, Iowa State University, Ames, IA 50011, USA",United States,Iowa,3
29.6130239,-82.371937,"Gainesville, FL 32611, USA",United States,Florida,3
34.1378866,-118.1247032,"Pasadena, CA 91125, USA",United States,California,3
37.8807497,-122.2443996,"Space Sciences Laboratory, University of California Berkeley, Berkeley, CA 94705, USA",United States,California,3
47.4996973,18.9642969,"1121 Budapest, Konkoly-Thege Miklós Way 15, Hungary",Hungary,Budapest,3
37.3347426,-121.8847118,"SJSU Department of Physics and Astronomy, San José State University, South 4th Street, San Jose, CA 95112, USA",United States,California,3
40.0383333,-75.3416667,"Villanova, Radnor, PA 19085, USA",United States,Pennsylvania,3
